player,played_at,fixture,position,role,result,final_you,final_formula,final_diff,attacking_you,attacking_formula,attacking_diff,defending_you,defending_formula,defending_diff,passing_you,passing_formula,passing_diff,consistency_you,consistency_formula,consistency_diff,gk_gc_you,gk_gc_formula,gk_gc_diff,gk_saves_you,gk_saves_formula,gk_saves_diff,gk_catches_you,gk_catches_formula,gk_catches_diff
"ENTY","2026-02-25","Mythra FC 4-3 Borazanspor","RW","FWD","L",80.00,68.00,-12.00,85.00,77.33,-7.67,61.00,52.50,-8.50,67.00,46.86,-20.14,84.00,54.44,-29.56,,,,,,,,,
"BOTain","2026-07-27","Stungard 6-3 Sevilla FC","CM","MID","W",74.00,74.00,0.00,62.00,57.78,-4.22,88.00,88.21,0.21,50.00,62.67,12.67,81.00,64.74,-16.26,,,,,,,,,
"csabee","2026-03-03","Sabertooth 6-1 Szot United","LW","FWD","L",38.00,26.00,-12.00,15.00,2.50,-12.50,85.00,92.29,7.29,78.00,61.54,-16.46,85.00,58.89,-26.11,,,,,,,,,
"qZenseS","2026-02-24","Jovel Union 4-2 Velocita FC","CM","MID","L",76.00,72.00,-4.00,79.00,62.78,-16.22,79.00,97.38,18.38,63.00,54.67,-8.33,84.00,71.15,-12.85,,,,,,,,,
"Max","2026-07-01","Luton Town NXTGEN 2-1 Notts County FC","RB","DEF","L",84.00,84.00,0.00,35.00,15.00,-20.00,90.00,100.85,10.85,88.00,64.68,-23.32,92.00,85.29,-6.71,,,,,,,,,
"zeyrox","2026-03-24","Zakrusa 5-2 Artemis FC","RW","FWD","W",90.00,90.00,0.00,90.00,92.79,2.79,74.00,84.96,10.96,70.00,59.82,-10.18,89.00,75.56,-13.44,,,,,,,,,
"wecks","2026-07-27","Luton Town FC 3-16 Sénmurw FC","RW","FWD","L",73.00,67.00,-6.00,74.00,63.98,-10.02,45.00,92.82,47.82,77.00,64.96,-12.04,88.00,67.78,-20.22,,,,,,,,,
"MoonRip.^^","2026-07-09","Mythra FC 2-2 Enigma","GK","GK","D",92.00,83.00,-9.00,,,,77.00,57.98,-19.02,90.00,55.65,-34.35,88.00,71.50,-16.50,81.00,78.26,-2.74,91.00,75.00,-16.00,55.00,25.00,-30.00
"mannen","2026-03-30","Leeds United FC 4-1 Artemis FC","RW","FWD","W",91.00,91.00,0.00,90.00,91.29,1.29,85.00,77.74,-7.26,62.00,67.06,5.06,92.00,86.11,-5.89,,,,,,,,,
"Kraken","2026-02-01","Zakrusa 4-3 Sabertooth","RW","FWD","L",22.00,11.00,-11.00,10.00,2.50,-7.50,62.00,62.02,0.02,48.00,18.10,-29.90,20.00,8.89,-11.11,,,,,,,,,
"gats","2026-07-28","Anatolian Leopards FC 6-3 Stungard","CM","MID","W",84.00,91.00,7.00,94.00,101.67,7.67,87.00,90.09,3.09,43.00,49.33,6.33,91.00,108.97,17.97,,,,,,,,,
"ADL OTW","2026-07-31","Pergamonos 2-3 Akatsuki","RB","DEF","W",100.00,94.00,-6.00,20.00,6.67,-13.33,,,,89.00,100.00,11.00,,,,,,,,,,,,
"SIA","2026-06-29","Sevilla FC 17-2 Aura FC","RB","DEF","W",92.00,89.00,-3.00,90.00,55.00,-35.00,87.00,88.17,1.17,79.00,64.68,-14.32,98.00,113.97,15.97,,,,,,,,,
"Clown","2026-02-21","HD FC 1-8 Sabertooth","RB","DEF","L",30.00,42.00,12.00,15.00,15.00,0.00,30.00,56.25,26.25,30.00,13.62,-16.38,42.00,23.53,-18.47,,,,,,,,,
"JAZENGER.","2026-02-22","TarhanSpor 3-0 Las Noches","RW","FWD","L",93.00,89.00,-4.00,100.00,96.67,-3.33,67.00,59.76,-7.24,79.00,68.38,-10.62,96.00,95.00,-1.00,,,,,,,,,
"Richie","2026-07-20","Paris Saint-Germain 3-8 Akatsuki","RW","FWD","W",100.00,100.00,0.00,100.00,100.00,0.00,76.00,82.82,6.82,80.00,77.92,-2.08,100.00,110.00,10.00,,,,,,,,,
